Id,Nota_final,,,,,,,,,,,,Quiz 8,Quiz 9
120184-15,C,,,,,,,,,,,,,
120184-16,2.3,,,,,,,,,,,,,
120184-17,3.1,,,,,,,,,,,,,
120184-18,3.4,,,,,,,,,,,,,
120184-19,3,,,,,,,,,,,,,
120184-20,C,,,,,,,,,,,,,
220185-1,2.95,,,,,,,,,,,,,
220185-2,C,,,,,,,,,,,,,
220185-3,2.15,,,,,,,,,,,,,
220185-4,C,,,,,,,,,,,,,
220185-5,3.2,,,,,,,,,,,,,
220185-6,C,,,,,,,,,,,,,
220185-7,3.5,,,,,,,,,,,,,
220185-8,0.39,,,,,,,,,,,,,
220185-9,0.71,,,,,,,,,,,,,
220185-10,C,,,,,,,,,,,,,
220185-11,0.71,,,,,,,,,,,,,
220185-12,0.87,,,,,,,,,,,,,
220185-13,3.82,,,,,,,,,,,,,
220185-14,3.93,,,,,,,,,,,,,
220185-15,C,,,,,,,,,,,,,
220185-16,3.82,,,,,,,,,,,,,
220185-17,2.52,,,,,,,,,,,,,
220185-18,1.22,,,,,,,,,,,,,
220185-19,C,,,,,,,,,,,,,
220185-20,3.78,,,,,,,,,,,,,
220184-1,3.69,,,,,,,,,,,,,
220184-2,2.3,,,,,,,,,,,,,
220184-3,C,,,,,,,,,,,,,
220184-4,0.57,,,,,,,,,,,,,
220184-5,3.28,,,,,,,,,,,,,
220184-6,C,,,,,,,,,,,,,
220184-7,0.87,,,,,,,,,,,,,
220184-8,C,,,,,,,,,,,,,
220184-9,0.83,,,,,,,,,,,,,
220184-10,3.39,,,,,,,,,,,,,
220184-11,3.38,,,,,,,,,,,,,
220184-12,C,,,,,,,,,,,,,
220184-13,C,,,,,,,,,,,,,
220184-14,C,,,,,,,,,,,,,
220184-15,3.51,,,,,,,,,,,,,
220184-16,3.14,,,,,,,,,,,,,
220184-17,3.51,,,,,,,,,,,,,
220184-18,3.65,,,,,,,,,,,,,
220184-19,C,,,,,,,,,,,,,
220184-20,C,,,,,,,,,,,,,
220184-21,3.48,,,,,,,,,,,,,
